first_user_id,venue_id,rating_sum,count
1,60,2,1
,60,2,1
,62,3,1
,64,2,1
,64,2,1
,64,2,1
,208,3,1
,211,5,1
,212,5,1
,213,5,1
,214,3,1
,214,4,1
,215,3,1
,215,4,1
,216,3,1
,216,4,1
,217,4,1
,217,5,1
,218,5,1
,219,5,1
,220,4,1
,220,4,1
,220,5,1
,221,5,1
,222,4,1
,222,4,1
,222,5,1
,223,3,1
,223,3,1
,223,4,1
,223,4,1
,224,3,1
,224,4,1
,225,3,1
,225,4,1
,226,3,1
,226,4,1
,227,3,1
,227,4,1
,227,4,1
,228,3,1
,228,4,1
,229,3,1
,229,4,1
,230,3,1
,230,4,1
,231,3,1
,231,4,1
,232,3,1
,232,4,1
,233,3,1
,233,4,1
,234,3,1
,234,4,1
,234,4,1
,235,3,1
,235,4,1
,235,4,1
,235,4,1
,236,3,1
,236,4,1
,237,3,1
,237,4,1
,238,3,1
,238,4,1
,239,3,1
,239,4,1
,240,3,1
,240,4,1
,241,3,1
,241,4,1
,242,3,1
,242,4,1
,243,3,1
,243,4,1
,243,4,1
,244,3,1
,244,4,1
,245,3,1
,245,4,1
,246,3,1
,246,4,1
,247,3,1
,247,4,1
,248,3,1
,248,4,1
,249,3,1
,249,4,1
,250,3,1
,250,4,1
,251,3,1
,251,4,1
,252,3,1
,252,4,1
,253,3,1
,253,4,1
,254,3,1
,254,4,1
,255,3,1
,255,4,1
,256,3,1
,256,4,1
,257,3,1
,257,4,1
,257,4,1
,258,3,1
,258,4,1
,259,3,1
,259,4,1
,260,3,1
,260,4,1
,261,3,1
,261,4,1
,262,3,1
,262,4,1
,263,3,1
,263,4,1
,263,4,1
,263,4,1
,264,3,1
,264,4,1
,265,4,1
,265,5,1
,266,5,1
,267,2,1
,267,5,1
,268,5,1
,269,5,1
,270,5,1
,271,5,1
,272,5,1
,273,3,1
,273,4,1
,274,3,1
,274,4,1
,275,3,1
,275,4,1
,276,3,1
,276,4,1
,277,3,1
,277,4,1
,278,5,1
,279,5,1
,280,5,1
,281,3,1
,281,4,1
,282,3,1
,282,4,1
,283,3,1
,283,4,1
,284,3,1
,284,4,1
,285,3,1
,285,4,1
,286,5,1
,287,5,1
,288,5,1
,289,5,1
,291,5,1
,292,4,1
,292,5,1
,293,5,1
,295,5,1
,296,3,1
,296,4,1
,297,3,1
,297,4,1
,298,3,1
,298,4,1
,299,3,1
,299,4,1
,300,3,1
,300,4,1
,301,3,1
,301,4,1
,302,3,1
,302,4,1
,303,3,1
,303,4,1
,304,4,1
,304,5,1
,305,5,1
,306,5,1
,307,5,1
,308,5,1
,309,5,1
,310,5,1
,311,5,1
,312,5,1
,313,3,1
,313,4,1
,314,3,1
,314,4,1
,315,3,1
,315,4,1
,316,3,1
,316,4,1
,317,3,1
,317,4,1
,318,3,1
,318,4,1
,319,5,1
,320,5,1
,321,5,1
,322,5,1
,323,5,1
,324,5,1
,325,5,1
,326,5,1
,327,5,1
,329,5,1
,330,5,1
,331,5,1
,332,5,1
,333,5,1
,334,3,1
,334,4,1
,335,3,1
,335,4,1
,336,5,1
,338,4,1
,338,5,1
,339,5,1
,340,5,1
,341,5,1
,343,5,1
,344,5,1
,345,5,1
,346,3,1
,346,4,1
,347,3,1
,347,4,1
,348,3,1
,348,4,1
,349,5,1
,350,5,1
,351,5,1
