first_user_id,venue_id,total_rating,total_count,average_rating
1,60,4,2,2
1,62,3,1,3
1,64,6,3,2
1,208,3,1,3
1,211,5,1,5
1,212,5,1,5
1,213,5,1,5
1,214,7,2,3.5
1,215,7,2,3.5
1,216,7,2,3.5
1,217,9,2,4.5
1,218,5,1,5
1,219,5,1,5
1,220,13,3,4.333333333
1,221,5,1,5
1,222,13,3,4.333333333
1,223,14,4,3.5
1,224,7,2,3.5
1,225,7,2,3.5
1,226,7,2,3.5
1,227,11,3,3.666666667
1,228,7,2,3.5
1,229,7,2,3.5
1,230,7,2,3.5
1,231,7,2,3.5
1,232,7,2,3.5
1,233,7,2,3.5
1,234,11,3,3.666666667
1,235,15,4,3.75
1,236,7,2,3.5
1,237,7,2,3.5
1,238,7,2,3.5
1,239,7,2,3.5
1,240,7,2,3.5
1,241,7,2,3.5
1,242,7,2,3.5
1,243,11,3,3.666666667
1,244,7,2,3.5
1,245,7,2,3.5
1,246,7,2,3.5
1,247,7,2,3.5
1,248,7,2,3.5
1,249,7,2,3.5
1,250,7,2,3.5
1,251,7,2,3.5
1,252,7,2,3.5
1,253,7,2,3.5
1,254,7,2,3.5
1,255,7,2,3.5
1,256,7,2,3.5
1,257,11,3,3.666666667
1,258,7,2,3.5
1,259,7,2,3.5
1,260,7,2,3.5
1,261,7,2,3.5
1,262,7,2,3.5
1,263,15,4,3.75
1,264,7,2,3.5
1,265,9,2,4.5
1,266,5,1,5
1,267,7,2,3.5
1,268,5,1,5
1,269,5,1,5
1,270,5,1,5
1,271,5,1,5
1,272,5,1,5
1,273,7,2,3.5
1,274,7,2,3.5
1,275,7,2,3.5
1,276,7,2,3.5
1,277,7,2,3.5
1,278,5,1,5
1,279,5,1,5
1,280,5,1,5
1,281,7,2,3.5
1,282,7,2,3.5
1,283,7,2,3.5
1,284,7,2,3.5
1,285,7,2,3.5
1,286,5,1,5
1,287,5,1,5
1,288,5,1,5
1,289,5,1,5
1,291,5,1,5
1,292,9,2,4.5
1,293,5,1,5
1,295,5,1,5
1,296,7,2,3.5
1,297,7,2,3.5
1,298,7,2,3.5
