first_user_id,second_user_id,venue_id,rating,count
1,11,62,3,
1,11,215,3,
1,11,213,5,
1,11,214,4,
1,11,211,5,
1,11,212,5,
1,11,214,3,
1,11,215,4,
1,13,216,3,
1,13,81495,2,
1,13,216,4,
1,15,223,4,
1,15,223,3,
1,15,217,4,
1,15,217,5,
1,15,218,5,
1,15,219,5,
1,15,220,4,
1,15,220,4,
1,15,220,5,
1,15,221,5,
1,15,222,4,
1,15,222,4,
1,15,222,5,
1,15,235,4,
1,15,235,4,
1,15,235,4,
1,15,235,3,
1,15,236,4,
1,15,236,3,
1,15,237,4,
1,15,237,3,
1,15,238,4,
1,15,238,3,
1,15,239,4,
1,15,239,3,
1,15,240,4,
1,15,240,3,
1,15,241,4,
1,15,241,3,
1,15,242,4,
1,15,242,3,
1,15,243,4,
1,15,243,4,
1,15,243,3,
1,15,244,4,
1,15,244,3,
1,15,245,4,
1,15,245,3,
1,15,246,4,
1,15,246,3,
1,15,247,4,
1,15,247,3,
1,15,248,4,
1,15,248,3,
1,15,249,4,
1,15,249,3,
1,15,250,4,
1,15,250,3,
1,15,251,4,
1,15,251,3,
1,15,252,4,
1,15,252,3,
1,15,253,4,
1,15,253,3,
1,15,254,4,
1,15,254,3,
1,15,255,4,
1,15,255,3,
1,15,256,4,
1,15,256,3,
1,15,257,4,
1,15,257,4,
1,15,257,3,
1,15,258,4,
1,15,258,3,
1,15,259,4,
1,15,259,3,
1,15,260,4,
1,15,260,3,
1,15,261,4,
1,15,261,3,
1,15,262,4,
1,15,262,3,
1,15,263,4,
1,15,263,4,
1,15,263,4,
1,15,263,3,
1,15,2754,3,
1,15,11489,3,
1,15,86023,3,
1,15,228,3,
1,15,229,4,
1,15,229,3,
1,15,230,4,
1,15,230,3,
1,15,231,4,
1,15,231,3,
1,15,232,4,
1,15,232,3,
1,15,233,4,
1,15,233,3,
1,15,234,4,
1,15,234,4,
1,15,234,3,
1,15,224,3,
1,15,225,4,
1,15,225,3,
1,15,224,4,
1,15,226,3,
1,15,227,4,
1,15,227,4,
1,15,226,4,
1,15,228,4,
1,15,227,3,
1,16,264,3,
1,16,264,4,
1,20,60,2,
1,20,64,2,
1,20,2141,2,
1,20,2879,2,
1,20,60,2,
1,20,11850,2,
1,21,269,5,
1,21,270,5,
1,21,266,5,
1,21,265,4,
1,21,265,5,
1,21,267,2,
1,21,267,5,
1,21,268,5,
1,22,271,5,
1,22,273,3,
1,22,274,4,
1,22,272,5,
1,22,273,4,
1,22,275,3,
1,22,276,4,
1,22,274,3,
1,22,275,4,
1,22,277,3,
1,22,276,3,
1,22,277,4,
1,23,279,5,
1,23,278,5,
1,23,284,3,
1,23,285,4,
1,23,285,3,
