,first_user_id,venue_id,average_rating,sum_count,distance..km.,Y_Value
1,15,24,5,1,15.2,1
2,15,51,2.8,4,6.3,0
3,15,52,5,1,216.7,0
4,15,53,5,1,1436.1,1
5,15,54,5,1,6,0
6,15,55,4.5,2,212.2,0
7,15,56,5,1,18.8,1
8,15,57,5,1,1500.1,0
9,15,58,5,1,11298.6,1
10,15,59,5,1,2298,0
11,15,60,2.6,15,2096.5,1
12,15,61,3.5,2,18.7,1
13,15,62,3.5,2,18.6,0
14,15,63,3.5,2,11298.5,1
15,15,64,2.1,78,15.2,1
16,15,65,3.5,2,2476.6,1
17,15,192,3.5,2,18.3,0
18,15,200,4.3,3,17.9,1
19,15,201,5,1,14.7,0
20,15,202,5,1,13,0
21,15,203,5,1,14.9,0
22,15,204,5,1,13.9,1
23,15,205,3.2,8,11.3,0
24,15,206,3.5,2,2095.3,0
25,15,207,3.3,3,9.6,0
26,15,208,3.8,3,6.5,0
27,15,209,3.5,11,6.2,0
28,15,210,3.8,3,7.4,0
29,15,214,3,1,19.4,0
30,15,220,3,1,10.4,1
31,15,222,3,1,9.4,0
32,15,223,4,1,10.8,1
33,15,224,3.8,4,11.1,0
34,15,227,2.8,14,9.6,0
35,15,231,3,1,10.3,0
36,15,232,3.5,2,18.5,1
37,15,235,3.5,2,10.1,1
38,15,236,3.4,10,11.9,0
39,15,245,5,1,8.9,0
40,15,246,3.5,4,8.6,1
41,15,250,5,1,6.7,0
42,15,251,3.5,2,5.7,0
43,15,256,3,1,9.7,0
44,15,257,3.6,7,13.1,1
45,15,259,3.3,20,9.7,0
46,15,260,3,1,9.7,0
47,15,261,3,1,9.8,1
48,15,263,3,1,9.8,0
49,15,316,3,1,547.3,0
50,15,354,3.2,4,7,0
51,15,376,3,1,5.9,0
52,15,378,3.5,2,8.8,1
53,15,380,3.5,2,2461.6,0
54,15,381,3.5,2,2478.4,1
55,15,382,3.5,2,2467.6,0
56,15,383,3.5,2,2464.7,0
57,15,384,3.5,2,2554.5,0
58,15,385,3.5,2,2559.1,1
59,15,386,3.8,4,2559.4,0
60,15,387,3.5,2,2555.8,0
61,15,388,3.8,4,2096.2,1
62,15,389,3.7,3,2097,0
63,15,390,2.8,3,2096.6,0
64,15,391,3.5,2,15195.9,0
65,15,392,3.5,2,15196,1
66,15,393,3.5,2,15196.2,1
67,15,394,3.5,2,15194.4,1
68,15,395,3.7,3,570.3,1
69,15,396,3.5,2,570.6,1
70,15,397,3.8,4,569.8,0
71,15,398,3.5,2,568.8,0
72,15,399,3.5,2,6469.2,1
73,15,400,3.5,2,6469.5,1
74,15,401,3.5,2,6469.6,0
75,15,402,3.5,2,6466,1
76,15,403,3.5,2,1798.9,0
77,15,404,3.7,3,1804.7,1
78,15,405,3.5,2,1797.1,0
79,15,406,3.7,3,1799.5,1
80,15,407,3.8,7,1640.1,0
81,15,408,3.5,4,1639.9,1
82,15,409,3.5,4,1637.6,0
83,15,410,3.5,2,1636.6,1
84,15,411,3.5,2,1539.9,1
85,15,412,3.5,2,1540.3,0
86,15,413,3.5,2,1538,0
87,15,415,4,1,1636.1,0
88,15,416,4,1,1636.4,1
89,15,417,4,2,1635.8,1
90,15,418,3.5,2,1637.3,0
91,15,419,4,1,1636.1,1
92,15,420,3.8,4,1635.5,0
93,15,421,4,1,1635.6,1
94,15,422,3.5,2,1635.7,0
95,15,423,4,1,1636.3,1
96,15,424,4,1,1636.8,1
97,15,425,4,1,1636.7,0
98,15,426,4,1,1635.9,1
99,15,427,4,2,1635.8,1
100,15,428,4,1,1635.9,1
101,15,429,3.5,2,1465.1,0
102,15,430,4,1,2472.7,0
103,15,431,4,1,2468.2,0
104,15,432,4,2,2468.2,0
105,15,433,4,1,2462.5,0
106,15,434,4,2,2465.1,0
107,15,435,4,1,2478.1,0
108,15,436,4,1,2458.6,1
109,15,437,3.7,3,1637.3,0
110,15,438,4,1,1636.2,1
111,15,439,4,1,2488.9,0
112,15,440,4,1,2458.3,1
113,15,441,4,1,2463.2,0
114,15,442,4,1,2478.3,1
115,15,443,4,1,2467.8,0
116,15,444,4,1,2445.8,0
117,15,445,4,1,2463.6,1
118,15,446,4,1,2458.3,1
119,15,447,4,1,2460.4,0
120,15,448,3.5,2,2477,1
121,15,449,4,1,2481.2,0
122,15,450,4,1,2457.4,1
123,15,451,3.5,2,2437.8,1
124,15,452,4,2,2456.9,0
125,15,453,4,1,2493.6,0
126,15,454,4,1,2467.8,0
127,15,455,4,1,2472.9,1
128,15,456,4,1,2468,0
129,15,457,4,1,2450.3,0
130,15,458,4,1,2477.8,0
131,15,459,4,1,2464.2,0
132,15,460,4,1,2464,0
133,15,461,4,1,2480,1
134,15,462,4,1,2444.1,0
135,15,463,4,1,2453,1
136,15,464,3.5,2,2466.3,0
137,15,465,4,1,2465.9,0
138,15,466,4,2,2463.9,0
