first_user_id,venue_id,average_rating,sum_count,distance_km,Y.value
15,24,5,1,15.2,1
15,51,2.8,4,6.3,0
15,52,5,1,216.7,0
15,53,5,1,1436.1,1
15,54,5,1,6,1
15,55,4.5,2,212.2,1
15,56,5,1,18.8,1
15,57,5,1,1500.1,0
15,58,5,1,11298.6,0
15,59,5,1,2298,0
15,60,2.6,15,2096.5,0
15,61,3.5,2,18.7,0
15,62,3.5,2,18.6,0
15,63,3.5,2,11298.5,1
15,64,2.1,78,15.2,0
15,65,3.5,2,2476.6,0
15,192,3.5,2,18.3,0
15,200,4.3,3,17.9,0
15,201,5,1,14.7,1
15,202,5,1,13,1
15,203,5,1,14.9,1
15,204,5,1,13.9,0
15,205,3.2,8,11.3,1
15,206,3.5,2,2095.3,1
15,207,3.3,3,9.6,1
15,208,3.8,3,6.5,0
15,209,3.5,11,6.2,0
15,210,3.8,3,7.4,0
15,214,3,1,19.4,0
15,220,3,1,10.4,1
15,222,3,1,9.4,1
15,223,4,1,10.8,1
15,224,3.8,4,11.1,1
15,227,2.8,14,9.6,1
15,231,3,1,10.3,1
15,232,3.5,2,18.5,1
15,235,3.5,2,10.1,1
15,236,3.4,10,11.9,0
15,245,5,1,8.9,0
15,246,3.5,4,8.6,1
15,250,5,1,6.7,0
15,251,3.5,2,5.7,1
15,256,3,1,9.7,0
15,257,3.6,7,13.1,1
15,259,3.3,20,9.7,0
15,260,3,1,9.7,1
15,261,3,1,9.8,0
15,263,3,1,9.8,1
15,316,3,1,547.3,0
15,354,3.2,4,7,1
15,376,3,1,5.9,1
15,378,3.5,2,8.8,1
15,380,3.5,2,2461.6,0
15,381,3.5,2,2478.4,1
15,382,3.5,2,2467.6,0
15,383,3.5,2,2464.7,1
15,384,3.5,2,2554.5,1
15,385,3.5,2,2559.1,1
15,386,3.8,4,2559.4,0
15,387,3.5,2,2555.8,0
15,388,3.8,4,2096.2,0
15,389,3.7,3,2097,0
15,390,2.8,3,2096.6,0
15,391,3.5,2,15195.9,0
15,392,3.5,2,15196,1
15,393,3.5,2,15196.2,0
15,394,3.5,2,15194.4,0
15,395,3.7,3,570.3,0
15,396,3.5,2,570.6,0
15,397,3.8,4,569.8,0
15,398,3.5,2,568.8,1
15,399,3.5,2,6469.2,1
15,400,3.5,2,6469.5,1
15,401,3.5,2,6469.6,1
15,402,3.5,2,6466,1
15,403,3.5,2,1798.9,0
15,404,3.7,3,1804.7,0
15,405,3.5,2,1797.1,0
15,406,3.7,3,1799.5,1
15,407,3.8,7,1640.1,1
15,408,3.5,4,1639.9,0
15,409,3.5,4,1637.6,0
15,410,3.5,2,1636.6,0
15,411,3.5,2,1539.9,1
15,412,3.5,2,1540.3,0
15,413,3.5,2,1538,1
15,415,4,1,1636.1,0
15,416,4,1,1636.4,0
15,417,4,2,1635.8,0
15,418,3.5,2,1637.3,0
15,419,4,1,1636.1,0
15,420,3.8,4,1635.5,1
15,421,4,1,1635.6,0
15,422,3.5,2,1635.7,1
15,423,4,1,1636.3,0
15,424,4,1,1636.8,0
15,425,4,1,1636.7,1
15,426,4,1,1635.9,0
15,427,4,2,1635.8,0
15,428,4,1,1635.9,1
15,429,3.5,2,1465.1,0
15,430,4,1,2472.7,1
15,431,4,1,2468.2,0
15,432,4,2,2468.2,0
15,433,4,1,2462.5,1
15,434,4,2,2465.1,0
15,435,4,1,2478.1,1
15,436,4,1,2458.6,1
15,437,3.7,3,1637.3,1
15,438,4,1,1636.2,0
15,439,4,1,2488.9,1
15,440,4,1,2458.3,0
15,441,4,1,2463.2,1
15,442,4,1,2478.3,1
