first_user_id,venue_id,avg_rating,total_count,latitude_diff,longitude_diff,Y-Value
1,60,2,2,8.98740938,21.694149,
1,62,3,1,0.01812414,0.02368669,
1,64,2,3,0.18891805,0.24430374,
1,208,3,1,0.0929718,0.17958741,
1,211,5,1,0.1685642,0.1042123,
1,212,5,1,0.2140303,0.1002712,
1,213,5,1,0.0222136,0.0148626,
1,214,3.5,2,0.0214855,0.0145432,
1,215,3.5,2,1.1012337,2.4581343,
1,216,3.5,2,0.1493642,0.1320877,
1,217,4.5,2,0.1242474,0.1715236,
1,218,5,1,0.1350642,0.1647877,
1,219,5,1,1.9673558,26.4030353,
1,220,4.333333333,3,0.1303652,0.1651387,
1,221,5,1,1.53453424,27.0323104,
1,222,4.333333333,3,0.1162999,0.1594414,
1,223,3.5,4,0.1347642,0.1653877,
1,224,3.5,2,0.1258642,0.3334877,
1,225,3.5,2,2.6040917,28.752252,
1,226,3.5,2,2.60376018,28.7519368,
1,227,3.666666667,3,0.1224256,0.1677246,
1,228,3.5,2,0.1966862,0.1263437,
1,229,3.5,2,0.1006642,0.1702877,
1,230,3.5,2,0.1542642,0.2692877,
1,231,3.5,2,0.1247714,0.1574864,
1,232,3.5,2,0.2101642,0.1631877,
1,233,3.5,2,0.1966862,0.1263437,
1,234,3.666666667,3,0.116875,0.17818193,
1,235,3.75,4,0.1230582,0.1579107,
1,236,3.5,2,0.10514608,0.10693173,
1,237,3.5,2,5.1022581,10.4654101,
1,238,3.5,2,5.09707064,10.45259814,
1,239,3.5,2,5.3050182,7.2963997,
1,240,3.5,2,5.3039491,7.297751,
1,241,3.5,2,5.3040877,7.2977454,
1,242,3.5,2,5.3047042,7.2973577,
1,243,3.666666667,3,5.3028302,7.2971237,
1,244,3.5,2,5.3025792,7.3106277,
1,245,3.5,2,0.0474642,0.1250877,
1,246,3.5,2,0.11176561,0.16834359,
1,247,3.5,2,0.1241882,0.1717657,
1,248,3.5,2,0.1240896,0.1744359,
1,249,3.5,2,0.1241257,0.1713399,
1,250,3.5,2,0.1098165,0.2132921,
1,251,3.5,2,0.08290947,0.18044571,
1,252,3.5,2,0.1331642,0.1778877,
1,253,3.5,2,0.1231642,0.1779877,
1,254,3.5,2,0.1232892,0.1676707,
1,255,3.5,2,0.1241201,0.1675632,
1,256,3.5,2,0.1237642,0.1684877,
1,257,3.666666667,3,0.1243446,0.3687832,
1,258,3.5,2,0.12350347,0.13551335,
1,259,3.5,2,0.1238129,0.16754697,
1,260,3.5,2,0.1240877,0.1672126,
1,261,3.5,2,0.1192133,0.1580128,
1,262,3.5,2,0.1258646,0.1575041,
1,263,3.75,4,0.1240642,0.1654877,
1,264,3.5,2,3.9613791,8.3205009,
1,265,4.5,2,1.2490664,0.1864354,
1,266,5,1,0.0556922,0.1111417,
1,267,3.5,2,0.0276862,0.0842237,
1,268,5,1,1.2241832,0.1829457,
1,269,5,1,0.0649502,0.1116328,
1,270,5,1,0.0649502,0.1116328,
1,271,5,1,3.1769195,5.8070021,
1,272,5,1,11.0959202,24.9649633,
1,273,3.5,2,4.3073642,19.4736877,
1,274,3.5,2,2.6287188,10.1308597,
1,275,3.5,2,11.0272047,25.0103089,
1,276,3.5,2,11.0304122,25.0049993,
1,277,3.5,2,11.0246962,25.0077503,
1,278,5,1,3.0291392,5.4102387,
1,279,5,1,3.0761332,5.2743777,
1,280,5,1,3.0291392,5.4102387,
1,281,3.5,2,3.0773752,5.2556657,
1,282,3.5,2,3.1940452,5.8216857,
1,283,3.5,2,3.1944027,5.8220357,
1,284,3.5,2,3.0221202,5.3866007,
1,285,3.5,2,3.07972984,5.27153591,
1,286,5,1,5.4972144,12.6535122,
1,287,5,1,5.4295192,12.9220429,
1,288,5,1,5.4960846,12.6390913,
1,289,5,1,5.4320322,12.9218543,
1,291,5,1,1.5908642,17.3112123,
1,292,4.5,2,5.4824352,12.6393053,
1,293,5,1,5.43190216,12.9167594,
1,295,5,1,5.4304369,12.9185572,
1,296,3.5,2,5.5982372,12.5902473,
1,297,3.5,2,5.4351522,12.9160433,
1,298,3.5,2,5.4729952,12.6313713,
1,299,3.5,2,5.5926532,12.5876257,
1,300,3.5,2,5.4494912,13.0698453,
1,301,3.5,2,5.5917474,12.5902984,
